ClientName,City,OrderID,OrderDate
Clinton,Bismarck100,100,09-02-2019
Harding,Columbus101,101,21-05-2019
Monroe,Boston102,102,28-09-2019
Cleveland,Atlanta103,103,21-10-2019
Fillmore,Sacramento104,104,24-02-2018
Quincy,Salt Lake City105,105,13-03-2019
Taylor,Boston106,106,06-06-2019
Madison,Salem107,107,30-03-2019
Johnson,Raleigh108,108,23-11-2018
Grant,Lansing109,109,20-05-2017
Arthur,Jackson110,110,30-11-2017
Grant,Columbia111,111,29-11-2017
Fillmore,Montgomery112,112,22-07-2018
Polk,Richmond113,113,16-11-2019
Quincy,Charleston114,114,06-05-2018
Kennedy,Harrisburg115,115,27-07-2019
Taylor,Concord116,116,15-06-2019
Coolidge,Nashville117,117,28-07-2019
Madison,Augusta118,118,29-06-2019
Wilson,Lansing119,119,23-09-2018
Reagan,Oklahoma City120,120,20-03-2019
Roosevelt,Trenton121,121,24-06-2017
Clinton,Olympia122,122,04-05-2018
Eisenhower,Bismarck123,123,20-07-2017
Carter,Atlanta124,124,06-07-2018
Adams,Dover125,125,23-09-2019
Clinton,Dover126,126,14-11-2018
Arthur,Hartford127,127,14-04-2017
Johnson,Phoenix128,128,16-09-2018
Hayes,Providence129,129,20-09-2017
Tyler,Springfield130,130,22-06-2018
Adams,Indianapolis131,131,11-02-2017
Monroe,Columbia132,132,18-05-2017
Carter,Nashville133,133,27-07-2018
Adams,Raleigh134,134,20-07-2018
Polk,Montpelier135,135,13-01-2017
Kennedy,Columbus136,136,13-09-2017
Pierce,Salt Lake City137,137,19-05-2019
Ford,Hartford138,138,13-09-2017
Harrison,Concord139,139,05-11-2019
McKinley,Dover140,140,03-07-2018
Harrison,Dover141,141,27-03-2017
Adams,Lincoln142,142,08-03-2017
Van Buren,Richmond143,143,19-08-2018
Reagan,Topeka144,144,28-09-2018
Tyler,Denver145,145,01-08-2018
Hayes,Jackson146,146,16-01-2018
Lincoln,Springfield147,147,22-01-2018
Jefferson,Charleston148,148,20-01-2017
Pierce,Harrisburg149,149,15-11-2018
Johnson,Santa Fe150,150,03-11-2017
Johnson,Honolulu151,151,18-10-2018
Kennedy,Saint Paul152,152,03-03-2017
Johnson,Atlanta153,153,08-06-2017
Washington,Charleston154,154,06-07-2017
Hayes,Boise155,155,12-10-2019
Jefferson,Indianapolis156,156,20-10-2019
Harrison,Annapolis157,157,05-06-2017
Adams,Juneau158,158,31-08-2019
Buchanan,Montgomery159,159,12-08-2019
Hoover,Des Moines160,160,03-11-2019
Harding,Denver161,161,08-06-2019
Clinton,Honolulu162,162,01-03-2019
Fillmore,Little Rock163,163,25-05-2019
Pierce,Des Moines164,164,16-08-2017
Grant,Hartford165,165,10-07-2019
Arthur,Indianapolis166,166,05-09-2019
Taft,Jackson167,167,12-05-2019
Adams,Phoenix168,168,22-04-2018
Eisenhower,Nashville169,169,07-01-2019
Nixon,Carson City170,170,04-08-2017
Taft,Lincoln171,171,02-05-2017
Ford,Columbia172,172,17-05-2018
Wilson,Olympia173,173,03-02-2017
Buchanan,Richmond174,174,02-06-2019
Clinton,Topeka175,175,06-08-2019
Ford,Austin176,176,14-08-2017
Polk,Raleigh177,177,02-02-2017
Harrison,Lansing178,178,11-10-2017
Harding,Boise179,179,28-12-2018
Adams,Indianapolis180,180,12-12-2019
McKinley,Madison181,181,28-01-2018
Roosevelt,Dover182,182,11-09-2019
Pierce,Phoenix183,183,08-03-2018
Harding,Lansing184,184,03-12-2018
Polk,Annapolis185,185,09-06-2017
Taylor,Little Rock186,186,14-01-2019
Adams,Pierre187,187,18-11-2018
Jefferson,Columbus188,188,18-10-2019
Garfield,Des Moines189,189,29-05-2018
Hoover,Carson City190,190,10-08-2017
Polk,Richmond191,191,12-06-2018
Arthur,Boise192,192,08-07-2019
Johnson,Lincoln193,193,21-06-2019
Van Buren,Springfield194,194,22-07-2017
Adams,Madison195,195,21-08-2018
Adams,Boise196,196,03-03-2017
Reagan,Cheyenne197,197,16-01-2018
Quincy,Augusta198,198,14-08-2017
Carter,Lincoln199,199,26-08-2019
Truman,Santa Fe200,200,10-12-2019
Nixon,Indianapolis201,201,09-07-2017
Johnson,Saint Paul202,202,08-09-2018
Van Buren,Salt Lake City203,203,11-05-2017
Reagan,Boston204,204,28-11-2018
Carter,Providence205,205,20-10-2019
Reagan,Harrisburg206,206,10-05-2018
Fillmore,Carson City207,207,15-07-2017
Adams,Albany208,208,12-06-2019
Wilson,Salem209,209,24-09-2017
Kennedy,Concord210,210,13-01-2018
Jefferson,Charleston211,211,20-06-2018
Garfield,Frankfort212,212,17-07-2018
Reagan,Harrisburg213,213,09-04-2019
Clinton,Bismarck214,214,28-05-2018
Cleveland,Lansing215,215,16-06-2017
Coolidge,Sacramento216,216,02-10-2017
Wilson,Hartford217,217,28-04-2018
Johnson,Lansing218,218,13-01-2019
Hayes,Helena219,219,17-01-2017
Coolidge,Topeka220,220,26-12-2017
Reagan,Richmond221,221,28-12-2018
Grant,Jackson222,222,05-04-2019
Reagan,Pierre223,223,24-07-2018
Madison,Atlanta224,224,11-01-2018
Arthur,Salem225,225,27-08-2019
Monroe,Bismarck226,226,19-06-2017
Taylor,Frankfort227,227,11-04-2019
Harrison,Richmond228,228,05-02-2018
Johnson,Montpelier229,229,07-10-2019
Monroe,Augusta230,230,30-03-2019
Kennedy,Providence231,231,04-12-2017
Arthur,Augusta232,232,02-07-2017
Wilson,Lansing233,233,02-06-2017
Polk,Topeka234,234,27-02-2019
Hayes,Lincoln235,235,14-07-2017
Monroe,Saint Paul236,236,18-12-2018
Monroe,Dover237,237,22-09-2017
Cleveland,Boise238,238,29-12-2019
Hoover,Columbia239,239,30-07-2018
Grant,Indianapolis240,240,19-01-2018
Roosevelt,Boise241,241,30-11-2019
Arthur,Atlanta242,242,20-11-2019
Tyler,Frankfort243,243,17-03-2019
Harding,Columbia244,244,23-07-2017
Grant,Montgomery245,245,01-07-2018
Wilson,Pierre246,246,24-11-2019
Carter,Concord247,247,28-11-2019
Roosevelt,Baton Rouge248,248,24-10-2017
